det	b1	b2	k	baseline
2	0.925107	-0.68133	0.229946	0
3	0.338117	0.0706091	0.274281	0
4	0.793324	-0.233068	0.233176	0
5	0.195553	0.791347	0.293631	0
6	0.264846	-0.290797	0.284968	0
7	0.368452	-0.247405	0.267571	0
8	0.87206	-0.500534	0.227787	0
9	0.230791	0.56811	0.284336	0
10	0.115689	0.363075	0.317007	0
11	0.414288	0.0994584	0.263557	0
12	0.344685	0.0891615	0.271696	0
13	0.546239	0.422135	0.249083	0
14	0.5	0.29	0.25	1
15	0.323832	-0.248846	0.278255	0
16	0.569898	-0.590461	0.248768	0
17	0.279169	-0.205767	0.283714	0
18	0.497579	-0.477978	0.256659	0
19	0.787719	-0.708476	0.237055	0
20	0.293185	0.222914	0.278399	0
21	0.267157	0.458379	0.282003	0
22	0.508475	-0.169234	0.255645	0
23	0.315487	0.236942	0.273714	0
24	0.329382	0.626338	0.266657	0
25	0.325512	0.971778	0.263397	0
26	0.294047	1.10936	0.268556	0
27	0.253885	0.605269	0.280994	0
28	0.30759	0.83056	0.267725	0
29	0.466491	0.318098	0.250649	0
30	0.353656	0.717898	0.261231	0
31	0.238431	1.07576	0.27802	0
32	0.271345	0.508085	0.27492	0
33	0.242694	0.910785	0.277239	0
34	0.382123	0.473364	0.261459	0
35	0.539361	0.66842	0.244086	0
36	0.34795	0.52143	0.262398	0
37	0.286245	0.928509	0.268639	0
38	0.5	0.29	0.25	1
39	0.249438	0.999672	0.273941	0
40	0.0752852	1.35663	0.331398	0
41	0.327143	1.0845	0.263826	0
42	0.465301	0.509063	0.251413	0
43	0.485434	0.378609	0.249732	0
44	0.313374	1.0382	0.265199	0
45	0.303166	1.00796	0.266594	0
46	0.348166	0.894073	0.260641	0
47	0.290302	0.880792	0.268902	0
48	0.390971	0.446441	0.259572	0
49	0.503849	0.0606607	0.250246	0
50	0.369317	0.294375	0.265348	0
51	0.24404	0.799276	0.278951	0
52	0.465902	0.556268	0.253323	0
53	0.263705	0.82676	0.274415	0
54	0.432703	0.465447	0.25505	0
55	0.275572	0.590606	0.276427	0
56	0.197879	0.645223	0.289303	0
57	0.26486	0.893838	0.275732	0
58	0.282372	0.807031	0.276848	0
59	0.220289	0.935019	0.28199	0
60	0.361219	0.663336	0.260895	0
61	0.189903	1.15254	0.289855	0
62	0.5	0.29	0.25	1
63	0.203275	0.739875	0.288052	0
64	0.619069	0.250184	0.240014	0
65	0.313748	1.15502	0.265751	0
66	0.491638	0.345561	0.250401	0
67	0.287709	1.12612	0.269382	0
68	0.220258	0.840926	0.284328	0
69	0.232187	0.75969	0.281159	0
70	0.383622	0.932947	0.258118	0
71	0.245738	0.691522	0.280994	0
