det	b1	b2	k	baseline
2	0.666027	-0.149951	0.242452	0
3	0.36292	0.0490503	0.271405	0
4	0.416535	0.783357	0.258063	0
5	0.207801	0.41189	0.291623	0
6	0.286784	-0.0634705	0.281054	0
7	0.281669	-0.0515905	0.278266	0
8	0.845075	-0.486944	0.229021	0
9	0.181825	0.599622	0.294318	0
10	0.128723	0.281506	0.312473	0
11	0.393746	0.0201011	0.265433	0
12	0.264342	0.370377	0.28235	0
13	0.407857	0.601484	0.260961	0
14	0.5	0.29	0.25	1
15	0.341525	-0.174118	0.275493	0
16	0.538924	-0.52487	0.25065	0
17	0.270819	-0.183122	0.284209	0
18	0.222415	0.676887	0.288536	0
19	0.574082	-0.310838	0.24983	0
20	0.284487	0.326788	0.279583	0
21	0.286815	0.243872	0.279097	0
22	0.425058	0.182388	0.26299	0
23	0.282461	0.43928	0.277773	0
24	0.377048	0.255476	0.261397	0
25	0.191379	1.26609	0.286016	0
26	0.367341	0.650221	0.260322	0
27	0.301728	0.527435	0.274169	0
28	0.353664	0.668544	0.262045	0
29	0.539073	0.0888276	0.244901	0
30	0.292799	0.854855	0.268273	0
31	0.258728	1.00683	0.275463	0
32	0.363004	0.368647	0.263454	0
33	0.257901	0.73856	0.275345	0
34	0.324868	0.534155	0.268957	0
35	0.442479	0.756487	0.251759	0
36	0.523615	0.28242	0.244404	0
37	0.442738	0.532417	0.250976	0
38	0.5	0.29	0.25	1
39	0.366874	0.71161	0.258307	0
40	0.100214	1.00514	0.319577	0
41	0.405594	0.724338	0.255257	0
42	0.736064	0.0750116	0.232803	0
43	0.46146	0.377677	0.252979	0
44	0.309562	0.811057	0.265982	0
45	0.477361	0.775542	0.248809	0
46	0.493028	0.638752	0.246316	0
47	0.437174	0.484204	0.252132	0
48	0.370857	0.466345	0.262133	0
49	0.352838	0.529793	0.264447	0
50	0.359311	0.33636	0.266082	0
51	0.181403	1.04975	0.291115	0
52	0.442387	0.573926	0.255243	0
53	0.291643	0.804195	0.270125	0
54	0.152473	1.53887	0.29711	0
55	0.147343	0.915035	0.301052	0
56	0.11281	1.1759	0.311948	0
57	0.143794	1.08516	0.299632	0
58	0.261337	0.958346	0.279741	0
59	0.161132	1.19586	0.294124	0
60	0.160428	1.39491	0.292728	0
61	0.197076	0.935484	0.288097	0
62	0.5	0.29	0.25	1
63	0.180756	0.944289	0.292848	0
64	0.333258	0.967808	0.264033	0
65	0.373061	0.817092	0.259076	0
66	0.409099	0.354402	0.25728	0
67	0.367045	0.652124	0.259677	0
68	0.145485	1.39342	0.300377	0
69	0.288795	0.659471	0.272524	0
70	0.190896	1.55274	0.285162	0
71	0.209678	0.84561	0.287055	0
