Det Num, Param b1,         Param b2,        Param k
2,      0.666027+/-0.000551875,      -0.149951+/-0.0159029,      0.242452+/-0.000551875
3,      0.36292+/-0.000323587,      0.0490503+/-0.0159084,      0.271405+/-0.000323587
4,      0.416535+/-0.000383686,      0.783357+/-0.0159,      0.258063+/-0.000383686
5,      0.207801+/-0.000202101,      0.41189+/-0.0158337,      0.291623+/-0.000202101
6,      0.286784+/-0.000262392,      -0.0634705+/-0.0157886,      0.281054+/-0.000262392
7,      0.281669+/-0.00025578,      -0.0515905+/-0.0157804,      0.278266+/-0.00025578
8,      0.845075+/-0.000670296,      -0.486944+/-0.0158929,      0.229021+/-0.000670296
9,      0.181825+/-0.000181661,      0.599622+/-0.0158092,      0.294318+/-0.000181661
10,      0.128723+/-0.000131297,      0.281506+/-0.0157922,      0.312473+/-0.000131297
11,      0.393746+/-0.000347987,      0.0201011+/-0.0158612,      0.265433+/-0.000347987
12,      0.264342+/-0.000248508,      0.370377+/-0.015802,      0.28235+/-0.000248508
13,      0.407857+/-0.000370256,      0.601484+/-0.0159053,      0.260961+/-0.000370256
14, (baseline)-----------------------------------------------------
15,      0.341525+/-0.000306843,      -0.174118+/-0.0158226,      0.275493+/-0.000306843
16,      0.538924+/-0.00044646,      -0.52487+/-0.015867,      0.25065+/-0.00044646
17,      0.270819+/-0.000247468,      -0.183122+/-0.015796,      0.284209+/-0.000247468
18,      0.222415+/-0.000222294,      0.676887+/-0.0158598,      0.288536+/-0.000222294
19,      0.574082+/-0.000479276,      -0.310838+/-0.015905,      0.24983+/-0.000479276
20,      0.284487+/-0.000265224,      0.326788+/-0.0159493,      0.279583+/-0.000265224
21,      0.286815+/-0.000269382,      0.243872+/-0.0156281,      0.279097+/-0.000269382
22,      0.425058+/-0.000376701,      0.182388+/-0.0159495,      0.26299+/-0.000376701
23,      0.282461+/-0.000266234,      0.43928+/-0.0157974,      0.277773+/-0.000266234
