Det Num, Param b1,         Param b2,        Param k
24,      0.329382+/-0.000514741,      0.626338+/-0.0159301,      0.266657+/-0.000514741
25,      0.325512+/-0.000614459,      0.971778+/-0.0160402,      0.263397+/-0.000614459
26,      0.294047+/-0.00054381,      1.10936+/-0.0161701,      0.268556+/-0.00054381
27,      0.253885+/-0.000400787,      0.605269+/-0.0159042,      0.280994+/-0.000400787
28,      0.30759+/-0.000491424,      0.83056+/-0.0159585,      0.267725+/-0.000491424
29,      0.466491+/-0.00068235,      0.318098+/-0.0161008,      0.250649+/-0.00068235
30,      0.353656+/-0.000733684,      0.717898+/-0.0160705,      0.261231+/-0.000733684
31,      0.238431+/-0.000424343,      1.07576+/-0.0159604,      0.27802+/-0.000424343
32,      0.271345+/-0.000419256,      0.508085+/-0.015889,      0.27492+/-0.000419256
33,      0.242694+/-0.000408701,      0.910785+/-0.0158951,      0.277239+/-0.000408701
34,      0.382123+/-0.000569424,      0.473364+/-0.0159736,      0.261459+/-0.000569424
35,      0.539361+/-0.000968224,      0.66842+/-0.0160905,      0.244086+/-0.000968224
36,      0.34795+/-0.000528956,      0.52143+/-0.0159552,      0.262398+/-0.000528956
37,      0.286245+/-0.000496656,      0.928509+/-0.0159934,      0.268639+/-0.000496656
38, (baseline)-----------------------------------------------------
39,      0.249438+/-0.000457312,      0.999672+/-0.0159737,      0.273941+/-0.000457312
40,      0.0752852+/-0.000150461,      1.35663+/-0.0158042,      0.331398+/-0.000150461
41,      0.327143+/-0.000540146,      1.0845+/-0.0160095,      0.263826+/-0.000540146
42,      0.465301+/-0.000684741,      0.509063+/-0.0160207,      0.251413+/-0.000684741
43,      0.485434+/-0.000697034,      0.378609+/-0.0160411,      0.249732+/-0.000697034
44,      0.313374+/-0.000527511,      1.0382+/-0.0159452,      0.265199+/-0.000527511
45,      0.303166+/-0.000501265,      1.00796+/-0.0159702,      0.266594+/-0.000501265
46,      0.348166+/-0.000583253,      0.894073+/-0.0159995,      0.260641+/-0.000583253
47,      0.290302+/-0.000472793,      0.880792+/-0.0159487,      0.268902+/-0.000472793
