id layer_id x
0 0 0.483
1 0 0.441
2 0 0.399
3 0 0.357
4 0 0.315
5 0 0.273
6 0 0.231
7 0 0.189
8 0 0.147
9 0 0.105
10 0 0.063
11 0 0.021
12 0 -0.021
13 0 -0.063
14 0 -0.105
15 0 -0.147
16 0 -0.189
17 0 -0.231
18 0 -0.273
19 0 -0.315
20 0 -0.357
21 0 -0.399
22 0 -0.441
23 0 -0.483
24 1 0.483
25 1 0.441
26 1 0.399
27 1 0.357
28 1 0.315
29 1 0.273
30 1 0.231
31 1 0.189
32 1 0.147
33 1 0.105
34 1 0.063
35 1 0.021
36 1 -0.021
37 1 -0.063
38 1 -0.105
39 1 -0.147
40 1 -0.189
41 1 -0.231
42 1 -0.273
43 1 -0.315
44 1 -0.357
45 1 -0.399
46 1 -0.441
47 1 -0.483
48 2 0.483
49 2 0.441
50 2 0.399
51 2 0.357
52 2 0.315
53 2 0.273
54 2 0.231
55 2 0.189
56 2 0.147
57 2 0.105
58 2 0.063
59 2 0.021
60 2 -0.021
61 2 -0.063
62 2 -0.105
63 2 -0.147
64 2 -0.189
65 2 -0.231
66 2 -0.273
67 2 -0.315
68 2 -0.357
69 2 -0.399
70 2 -0.441
71 2 -0.483
