# viewed from beam direction, hime local frame (x to the right, y to top), module Id starts from top/right.
id layer_id x
0 0 0.506
1 0 0.462
2 0 0.418
3 0 0.374
4 0 0.330
5 0 0.286
6 0 0.242
7 0 0.198
8 0 0.154
9 0 0.110
10 0 0.066
11 0 0.022
12 0 -0.022
13 0 -0.066
14 0 -0.110
15 0 -0.154
16 0 -0.198
17 0 -0.242
18 0 -0.286
19 0 -0.330
20 0 -0.374
21 0 -0.418
22 0 -0.462
23 0 -0.506
24 1 0.506
25 1 0.462
26 1 0.418
27 1 0.374
28 1 0.330
29 1 0.286
30 1 0.242
31 1 0.198
32 1 0.154
33 1 0.110
34 1 0.066
35 1 0.022
36 1 -0.022
37 1 -0.066
38 1 -0.110
39 1 -0.154
40 1 -0.198
41 1 -0.242
42 1 -0.286
43 1 -0.330
44 1 -0.374
45 1 -0.418
46 1 -0.462
47 1 -0.506
48 2 0.506
49 2 0.462
50 2 0.418
51 2 0.374
52 2 0.330
53 2 0.286
54 2 0.242
55 2 0.198
56 2 0.154
57 2 0.110
58 2 0.066
59 2 0.022
60 2 -0.022
61 2 -0.066
62 2 -0.110
63 2 -0.154
64 2 -0.198
65 2 -0.242
66 2 -0.286
67 2 -0.330
68 2 -0.374
69 2 -0.418
70 2 -0.462
71 2 -0.506
